root,起源、ルーツ
immigration,（外国からの）移住
tribe,部族
landscape,風景
agriculture,農業
soil,土壌、土
mine,鉱山
mass,大衆
quarter,四分の一
era,時代
circumstance,状況、事情
phenomenon,現象
custom,（社会の）慣習
religion,宗教
civilization,文明
universe,宇宙
diversity,多様性
trait,（人の性格などの）特性，特徴
review,批評、再検討
occasion,場合、時
campaign,（政治的、社会的）運動、活動
board,委員会、重役会
facility,施設
court,法廷、裁判所
trial,裁判
laboratory,研究所、実験室
instrument,道具、機器
instruction,指示
document,書類
target,目標
outcome,結果
muscle,筋肉
wage,賃金
gender,（男女の）性
confidence,自信
credit,信用
conscious,意識して、自覚して
anxious,心配して、切望して
asleep,眠って
alive,生きている
alike,似ている
excellent,秀でている
odd,奇妙な
sensitive,敏感な
sensible,賢明な
violent,暴力的な
military,軍（隊）の、軍事の
nuclear,原子力の、核の
contemporary,現代の
elementary,初等（教育）の
annual,年１回の
chief,第一の、主要な
actual,実際の
virtual,仮想の
numerous,多数の
multiple,多くの(部分から成る)
widespread,広範囲にわたる
sufficient,十分な
empty,空の
confirm,を裏付ける、(本当だと)確認する
illustrate,を説明する、を例証する
spell,（語）をつづる
bother,を困らせる
annoy,をいらいらさせる、悩ます
disturb,を邪魔する
discourage,を思いとどまらせる、を落胆させる
embarrass,を当惑させる、に恥ずかしい思いをさせる
frighten,を怖がらせる
puzzle,を当惑させる
upset,を動揺させる
stimulate,を刺激する
beat,を打ち負かす、（続けざまに）打つ
blow,（風が）吹く
injure,を傷つける
cure,を治す
recover,回復する
overcome,を克服する
quit,をやめる
transfer,を移す
transport,を輸送する
export,を輸出する
import,を輸入する
invest,投資する
investigate,を調査する
manufacture,を(大量に)製造する
react,反応する
award,（人）に（賞など）を授与する
ban,を（公式に）禁止する
prohibit,を禁止する
forbid,を禁じる
abandon,を捨てる
freeze,凍る
lift,を持ち上げる
hang,を掛ける
shake,を振る
stretch,を（引っ張って）伸ばす、広げる
lay,を置く、敷く
stare,じっと見つめる
gaze,見つめる
capture,を捕らえる
breed,を繁殖させる、飼育する、（動物が）子を産む
mammal,哺乳類、哺乳動物
ape,類人猿
insect,昆虫
infant,乳児
organ,臓器
web,（ワールドワイド）ウェブ
fossil,化石
battle,戦闘
enemy,敵
weapon,兵器、武器
arm,腕、武器、兵器
army,陸軍
navy,海軍
border,境界線、国境
barrier,障壁
philosophy,哲学
psychology,心理学
alarm,警報（機）；目覚まし時計
harm,害
depression,うつ病、不景気
disadvantage,不利（な点）
shortage,不足
stock,在庫品
loan,ローン、貸付金
budget,予算（案）
innovation,革新
union,組合
unit,（最小）単位
material,材料、原料
substance,物質
stuff,持ち物、材料
proportion,割合
edge,へり
code,規範；暗号
mystery,なぞ
curious,好奇心の強い
strict,厳しい
frank,率直な
polite,丁寧な
aggressive,攻撃的な
accurate,正確な
exact,正確な
proper,適切な
brief,短時間の
extraordinary,並外れた
flexible,柔軟な
pleasant,快い、楽しい
comfortable,心地よい、快適な
stable,安定した
thick,分厚い
thin,やせた
abstract,抽象的な
concrete,具体的な
absolute,絶対的な
prime,最も重要な，第一の
vital,極めて重要な
contrary,相反する
regardless,気にかけない
permit,許可する
suspect,ではないかと思う
pursue,を追求する、（仕事など）に従事する
pretend,ふりをする
calculate,を計算する
guarantee,を保証する、確約する
acknowledge,を認める
